snapshot_date,week_start,project_id,commissioning_level,equipment_count,checklist_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,39282,L1,693,693,14101,11756,2345,83.37,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,39282,L2,693,727,26011,7869,18142,30.25,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,39282,L3,693,693,18018,143,17875,0.79,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,39282,Overall,693,2113,58130,19768,38362,34.01,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,40875,L1,709,709,14621,13199,1422,90.27,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,40875,L2,709,746,28138,10837,17301,38.51,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,40875,L3,709,709,18434,69,18365,0.37,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,40875,Overall,709,2164,61193,24105,37088,39.39,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51203,L1,531,531,10620,3793,6827,35.72,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51203,L2,531,531,18585,161,18424,0.87,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51203,L3,531,531,13806,7,13799,0.05,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51203,Overall,531,1593,43011,3961,39050,9.21,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51204,L3,476,476,12376,0,12376,0.0,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,51204,Overall,476,1428,38556,3295,35261,8.55,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52048,L1,402,402,8040,2803,5237,34.86,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-08T08:33:56.899107+00:00
2026-09-08,2026-09-07,52048,Overall,402,1206,32562,2915,29647,8.95,2026-09-08T08:33:56.899107+00:00
