project_id,checklist_id,name,asset_name,asset_type,discipline,status,status_id,type_name,date_created,note,assigned_name,number,extended_status_raw,last_synced
39282,25157862,EDCKUL21ACS015A0 - L1 - Red Tag Checklist,EDCKUL21ACS015A0,equipment,Mechanical,Not Started,152794,RED Tag ,05/07/2026,,Promatrix DCS,6820,"{""not_started_date"": ""2026-05-07 11:46:31"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,25157637,EDCKUL21ACS015A0 - L2 - Yellow Tag Checklist,EDCKUL21ACS015A0,equipment,Mechanical,Not Started,152794,YELLOW Tag,05/07/2026,,Promatrix DCS,6608,"{""not_started_date"": ""2026-05-07 11:39:38"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,25157638,EDCKUL21ACS015A0 - L3 - Green Tag Checklist,EDCKUL21ACS015A0,equipment,Mechanical,Not Started,152794,GREEN Tag,05/07/2026,,Promatrix DCS,6609,"{""not_started_date"": ""2026-05-07 11:39:38"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,16943070,EDCKUL21ACS01210 - L1 - Red Tag Checklist,EDCKUL21ACS01210,equipment,Mechanical,Reviewed,159321,RED Tag ,03/06/2025,,Promatrix DCS,3342,"{""not_started_date"": ""2025-03-06 00:59:16"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": ""2025-12-22 01:15:52"", ""in_progress_person"": ""Mohamad Fahmee"", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": ""2026-01-13 09:52:49"", ""reviewed_person"": ""Aaron Asir""}",2026-07-25T04:06:30.463082+00:00
39282,25157639,EDCKUL21ACS01210 - L2 - Yellow Tag Checklist,EDCKUL21ACS01210,equipment,Mechanical,Not Started,152794,YELLOW Tag,05/07/2026,,Promatrix DCS,6610,"{""not_started_date"": ""2026-05-07 11:39:38"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,25157640,EDCKUL21ACS01210 - L3 - Green Tag Checklist,EDCKUL21ACS01210,equipment,Mechanical,Not Started,152794,GREEN Tag,05/07/2026,,Promatrix DCS,6611,"{""not_started_date"": ""2026-05-07 11:39:39"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,16943071,EDCKUL21ACS01220 - L1 - Red Tag Checklist,EDCKUL21ACS01220,equipment,Mechanical,Reviewed,159321,RED Tag ,03/06/2025,,Promatrix DCS,3343,"{""not_started_date"": ""2025-03-06 00:59:16"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": ""2025-12-22 01:21:43"", ""in_progress_person"": ""Mohamad Fahmee"", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": ""2026-01-13 09:53:07"", ""reviewed_person"": ""Aaron Asir""}",2026-07-25T04:06:30.463082+00:00
39282,25157641,EDCKUL21ACS01220 - L2 - Yellow Tag Checklist,EDCKUL21ACS01220,equipment,Mechanical,Not Started,152794,YELLOW Tag,05/07/2026,,Promatrix DCS,6612,"{""not_started_date"": ""2026-05-07 11:39:39"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,25157642,EDCKUL21ACS01220 - L3 - Green Tag Checklist,EDCKUL21ACS01220,equipment,Mechanical,Not Started,152794,GREEN Tag,05/07/2026,,Promatrix DCS,6613,"{""not_started_date"": ""2026-05-07 11:39:39"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
39282,16943072,EDCKUL21ACS01230 - L1 - Red Tag Checklist,EDCKUL21ACS01230,equipment,Mechanical,Reviewed,159321,RED Tag ,03/06/2025,,Promatrix DCS,3344,"{""not_started_date"": ""2025-03-06 00:59:17"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": ""2025-12-22 01:22:35\n2025-12-24 02:32:36"", ""in_progress_person"": ""Mohamad Fahmee\nMohamad Fahmee"", ""completed_date"": ""2025-12-24 02:32:32"", ""completed_person"": ""Mohamad Fahmee"", ""reviewed_date"": ""2026-01-13 09:53:12"", ""reviewed_person"": ""Aaron Asir""}",2026-07-25T04:06:30.463082+00:00
39282,25157643,EDCKUL21ACS01230 - L2 - Yellow Tag Checklist,EDCKUL21ACS01230,equipment,Mechanical,Not Started,152794,YELLOW Tag,05/07/2026,,Promatrix DCS,6614,"{""not_started_date"": ""2026-05-07 11:39:40"", ""not_started_person"": ""Aaron Asir"", ""in_progress_date"": """", ""in_progress_person"": """", ""completed_date"": """", ""completed_person"": """", ""reviewed_date"": """", ""reviewed_person"": """"}",2026-07-25T04:06:30.463082+00:00
